Date,TSLA,META,KO,AMZN
2013-04-25,3.4666669368743896,26.139999389648438,31.140165328979492,13.734999656677246
2013-04-26,3.413332939147949,26.850000381469727,30.956329345703125,12.740500450134277
2013-04-29,3.6626670360565186,26.979999542236328,31.059280395507812,12.487000465393066
2013-04-30,3.5993330478668213,27.770000457763672,31.125452041625977,12.690500259399414
2013-05-01,3.552000045776367,27.43000030517578,31.037216186523438,12.411499977111816
2013-05-02,3.607332944869995,28.969999313354492,30.853384017944336,12.6274995803833
2013-05-03,3.636667013168335,28.309999465942383,31.059280395507812,12.90250015258789
2013-05-06,3.9666669368743896,27.56999969482422,30.941635131835938,12.78600025177002
2013-05-07,3.700666904449463,26.889999389648438,31.39751434326172,12.886500358581543
2013-05-08,3.7193329334259033,27.1200008392334,31.221036911010742,12.934000015258789
