,Date,TSLA,META,KO,AMZN,TSLA_z_norm,META_z_norm,KO_z_norm,AMZN_z_norm
722,2015-11-24,14.550000190734863,105.73999786376952,34.39186096191406,33.557498931884766,-0.5783277831699501,-0.5999648574687645,-0.6674840055703776,-0.7610535773189583
723,2015-11-25,15.309332847595217,105.41000366210938,34.39186096191406,33.766998291015625,-0.5708763474074472,-0.603912317557754,-0.6674840055703776,-0.7571139902823976
724,2015-11-27,15.440667152404783,105.4499969482422,34.487770080566406,33.66299819946289,-0.5695875458171825,-0.6034339094522702,-0.6577636114310026,-0.7590696879713168
725,2015-11-30,15.350666999816896,104.23999786376952,34.06416320800781,33.2400016784668,-0.5704707296886586,-0.6179081731503607,-0.7006961898894003,-0.7670240398010308
726,2015-12-01,15.812666893005373,107.12000274658205,34.279972076416016,33.952999114990234,-0.5659370612163829,-0.5834569486324648,-0.678823949906628,-0.7536162877693209
727,2015-12-02,15.465999603271484,106.06999969482422,34.184059143066406,33.800498962402344,-0.5693389549938661,-0.5960173061153515,-0.6885447306657684,-0.7564840178984308
728,2015-12-03,15.513999938964844,104.37999725341795,33.93629837036133,33.3125,-0.5688679211001356,-0.6162334709878989,-0.7136552978027608,-0.7656607256177822
729,2015-12-04,15.358667373657228,106.18000030517578,34.59967803955078,33.63199996948242,-0.5703922209201912,-0.594701455664214,-0.6464217339959256,-0.7596526025229127
730,2015-12-07,15.408666610717772,105.61000061035156,34.52774429321289,33.49150085449219,-0.5699015715325152,-0.6015199119726437,-0.6537122229103396,-0.7622946559132432
731,2015-12-08,15.114666938781738,106.48999786376952,34.375885009765625,33.86650085449219,-0.5727866307352715,-0.5909931996279664,-0.6691031691474877,-0.7552428675696452
732,2015-12-09,14.968000411987305,104.5999984741211,34.09613800048828,33.239498138427734,-0.5742258895279025,-0.6136017700856236,-0.6974555430165883,-0.7670335087551056
733,2015-12-10,15.137999534606934,105.41999816894533,34.17606735229492,33.11600112915039,-0.5725576647644376,-0.6037927611635944,-0.6893546990740886,-0.7693558414764153
734,2015-12-11,14.468000411987305,102.12000274658205,33.78443145751953,32.00749969482422,-0.5791324582729587,-0.6432680009044524,-0.7290470172794397,-0.7902009547922633
735,2015-12-14,14.571999549865724,104.66000366210938,33.92830276489258,32.89550018310547,-0.5781119004341047,-0.6128839753985521,-0.7144656528308465,-0.7735023108126071
736,2015-12-15,14.739333152770996,104.5500030517578,34.423831939697266,32.93199920654297,-0.5764698327820793,-0.6141998258496898,-0.6642437453173309,-0.7728159551111957
737,2015-12-16,15.633999824523926,106.79000091552734,35.03925323486328,33.78850173950195,-0.5676903457243466,-0.5874044999858777,-0.6018707651999484,-0.7567096229027095
738,2015-12-17,15.559332847595217,106.22000122070312,34.759525299072266,33.532501220703125,-0.5684230630349191,-0.5942229562943073,-0.6302212059702225,-0.7615236535011645
739,2015-12-18,15.36400032043457,104.04000091552734,33.96826171875,33.207000732421875,-0.5703398879802376,-0.6203005787354708,-0.7104158107892448,-0.7676446149654236
